,,\\ Data extract from Sales Data System,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Order_ID,Order_Amount,Customer_ID,Employee_ID,Order_Date,Required_Date,Ship_Date,Courier_Website,Courier,Additional_Details,Shipped,PO_No,Payment_Received
1303,1505.1,2,6,18/02/2021,03/03/2021,02/03/2021,http://www.ups.com,UPS,,TRUE,1577,TRUE
1305,1010.1,56,4,18/02/2021,01/03/2021,24/02/2021,http://www.loomis.com,Loomis,,TRUE,7712,TRUE
1310,58,30,1,19/02/2021,02/03/2021,26/02/2021,,Pickup,,TRUE,,TRUE
1312,789.51,75,1,19/02/2021,02/03/2021,27/02/2021,http://www.usps.com,Parcel Post,,TRUE,6022,TRUE
1313,3479.7,68,9,19/02/2021,03/03/2021,28/02/2021,,Pickup,,TRUE,4565,TRUE
1317,8819.55,52,3,21/02/2021,01/03/2021,21/02/2021,http://www.loomis.com,Loomis,,TRUE,,TRUE
1317,8819.55,52,3,21/02/2021,01/03/2021,21/02/2021,http://www.loomis.com,Loomis,,TRUE,,TRUE
,,,,,,,,,,,,
1319,5219.55,17,6,21/02/2021,06/03/2021,27/02/2021,http://www.purolator.com,Purolator,,TRUE,,TRUE
1322,3479.7,14,9,21/02/2021,03/03/2021,01/03/2021,,Pickup,,TRUE,,TRUE
1322,3479.7,14,9,21/02/2021,03/03/2021,01/03/2021,,Pickup,,TRUE,,TRUE
1322,3479.7,14,9,21/02/2021,03/03/2021,01/03/2021,,Pickup,,TRUE,,TRUE
1323,5219.55,73,3,21/02/2021,02/03/2021,25/02/2021,http://www.ups.com,UPS,,TRUE,7190,TRUE
1325,329.85,72,4,21/02/2021,03/03/2021,24/02/2021,www.fedex.com,FedEx,,TRUE,1251,TRUE
1326,29,57,9,22/02/2021,04/03/2021,28/02/2021,http://www.purolator.com,Purolator,,TRUE,5501,TRUE
1328,2447.34,31,9,22/02/2021,01/03/2021,25/02/2021,www.fedex.com,FedEx,,TRUE,,TRUE
1329,149.5,34,9,22/02/2021,01/03/2021,24/02/2021,http://www.loomis.com,Loomis,,TRUE,,TRUE
1330,16.5,17,7,22/02/2021,07/03/2021,02/03/2021,http://www.purolator.com,Purolator,,TRUE,,TRUE
1331,178.2,3,9,22/02/2021,06/03/2021,27/02/2021,www.fedex.com,FedEx,,TRUE,,TRUE
1332,5219.55,73,4,22/02/2021,03/03/2021,23/02/2021,http://www.loomis.com,Loomis,,TRUE,8251,TRUE
1335,1799.7,19,7,22/02/2021,05/03/2021,24/02/2021,http://www.usps.com,Parcel Post,,TRUE,,TRUE
1337,1067.5,4,7,22/02/2021,05/03/2021,04/03/2021,,Pickup,,TRUE,9035,TRUE
1338,,,,,,,,,,,,
1339,8897.31,35,6,22/02/2021,03/03/2021,23/02/2021,http://www.purolator.com,Purolator,,TRUE,9018,TRUE
1343,3545.1,41,9,24/02/2021,04/03/2021,02/03/2021,www.fedex.com,FedEx,,TRUE,,TRUE
1344,2246.25,70,3,25/02/2021,08/03/2021,01/03/2021,http://www.usps.com,Parcel Post,,TRUE,2883,TRUE
1345,76,29,6,26/02/2021,01/03/2021,27/02/2021,www.fedex.com,FedEx,,TRUE,5231,TRUE
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A
1346,888.48,25,9,26/02/2021,02/03/2021,01/03/2021,http://www.usps.com,Parcel Post,,TRUE,9689,TRUE
1347,1664.7,5,9,26/02/2021,03/03/2021,01/03/2021,http://www.usps.com,Parcel Post,,TRUE,2779,TRUE
1348,5895.2,66,4,26/02/2021,11/03/2021,03/03/2021,http://www.usps.com,Parcel Post,,TRUE,5622,TRUE
1349,70.5,41,9,26/02/2021,04/03/2021,01/03/2021,http://www.purolator.com,Purolator,,TRUE,,TRUE
1350,426.87,40,4,26/02/2021,03/03/2021,27/02/2021,www.fedex.com,FedEx,,TRUE,9751,TRUE
1351,1664.7,70,6,26/02/2021,04/03/2021,01/03/2021,http://www.loomis.com,Loomis,,TRUE,6367,TRUE
1352,267.76,12,3,26/02/2021,04/03/2021,01/03/2021,http://www.ups.com,UPS,,TRUE,1377,TRUE
1354,68.9,48,1,26/02/2021,04/03/2021,01/03/2021,http://www.loomis.com,Loomis,,TRUE,,TRUE
